id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0001,Nissan Frontier 2023,Lujo,2.12,Normal
REV-0002,Ford Ranger 2023,Pickup,3.15,Alta
REV-0003,Chevrolet Aveo 2022,Compacto,2.08,Normal
REV-0004,Ford Ranger 2023,Sedán,2.18,Normal
REV-0005,Mercedes C300 2023,Pickup,2.85,Normal
REV-0006,BMW Serie 3 2024,SUV,2.66,Normal
REV-0007,Mercedes C300 2023,Camioneta,3.23,Alta
REV-0008,KIA Sportage 2023,Minivan,3.22,Alta
REV-0009,Toyota RAV4 2024,Compacto,2.48,Normal
REV-0010,Toyota Hilux 2024,Minivan,2.67,Normal
REV-0011,BMW Serie 3 2024,Lujo,3.43,Alta
REV-0012,BMW Serie 3 2024,Compacto,2.14,Normal
REV-0013,KIA Sportage 2023,Minivan,2.28,Normal
REV-0014,BMW Serie 3 2024,Sedán,3.16,Alta
REV-0015,BMW Serie 3 2024,Lujo,1.58,Muy baja
REV-0016,Toyota RAV4 2024,Deportivo,3.25,Alta
REV-0017,Mazda CX-5 2023,Pickup,1.90,Baja
REV-0018,Ford Escape 2023,Compacto,2.41,Normal
REV-0019,Hyundai Tucson 2024,Compacto,2.57,Normal
REV-0020,Mercedes C300 2023,SUV,1.86,Baja
REV-0021,Suzuki Vitara 2023,Camioneta,1.66,Baja
REV-0022,Jeep Wrangler 2022,Deportivo,2.32,Normal
REV-0023,Hyundai Tucson 2024,SUV,2.28,Normal
REV-0024,Toyota RAV4 2024,Compacto,2.38,Normal
REV-0026,Suzuki Vitara 2023,Sedán,2.72,Normal
REV-0027,VW Tiguan 2024,Pickup,3.79,Peligrosa
REV-0028,RAM 1500 2023,Sedán,2.49,Normal
REV-0029,Hyundai Tucson 2024,Pickup,2.91,Alta
REV-0030,BMW Serie 3 2024,Camioneta,1.47,Muy baja
REV-0031,Chevrolet Silverado 2024,Deportivo,1.73,Baja
REV-0032,Toyota RAV4 2024,Compacto,1.64,Baja
REV-0033,RAM 1500 2023,SUV,1.87,Baja
REV-0034,Hyundai Tucson 2024,Lujo,2.35,Normal
REV-0035,Mazda CX-5 2023,Deportivo,3.19,Alta
REV-0036,VW Tiguan 2024,Sedán,1.96,Normal
REV-0037,Nissan Frontier 2023,Pickup,1.29,Muy baja
REV-0038,Honda CR-V 2023,Camioneta,1.45,Muy baja
REV-0039,Nissan Sentra 2024,Lujo,3.29,Alta
REV-0040,Toyota Hilux 2024,Compacto,3.04,Alta
REV-0042,Ford Escape 2023,SUV,3.64,Peligrosa
REV-0043,Honda Civic 2022,Compacto,3.37,Alta
REV-0044,BMW Serie 3 2024,SUV,3.32,Alta
REV-0046,Mazda CX-5 2023,Lujo,3.14,Alta
REV-0048,Mercedes C300 2023,Minivan,1.26,Muy baja
REV-0049,Honda CR-V 2023,Pickup,1.27,Muy baja
REV-0050,Mazda CX-5 2023,Camioneta,1.81,Baja
REV-0051,Nissan Sentra 2024,Deportivo,2.32,Normal
REV-0052,Subaru Outback 2024,Pickup,3.31,Alta
REV-0053,Mercedes C300 2023,Pickup,1.79,Baja
REV-0054,KIA Sportage 2023,SUV,2.26,Normal
REV-0055,Mazda 3 2024,Minivan,2.44,Normal
REV-0057,Chevrolet Silverado 2024,SUV,2.05,Normal
REV-0058,Toyota Corolla 2023,Camioneta,1.60,Baja
REV-0059,Suzuki Vitara 2023,Deportivo,3.23,Alta
REV-0060,BMW Serie 3 2024,Pickup,2.14,Normal
REV-0061,Nissan Sentra 2024,Lujo,3.53,Alta
REV-0062,VW Jetta 2023,Sedán,3.47,Alta
REV-0063,Honda Civic 2022,Lujo,2.28,Normal
REV-0064,Honda CR-V 2023,SUV,2.87,Normal
REV-0065,Subaru Outback 2024,Deportivo,1.72,Baja
REV-0066,Ford Ranger 2023,Deportivo,3.33,Alta
REV-0067,Toyota Hilux 2024,Compacto,3.59,Peligrosa
REV-0068,VW Jetta 2023,Compacto,2.14,Normal
REV-0069,Jeep Wrangler 2022,Minivan,2.99,Alta
REV-0070,Honda Civic 2022,Minivan,1.72,Baja
REV-0071,Ford Ranger 2023,Sedán,3.60,Peligrosa
REV-0073,Mazda 3 2024,Lujo,2.71,Normal
REV-0074,Suzuki Vitara 2023,SUV,3.59,Peligrosa
REV-0075,Mazda 3 2024,SUV,1.69,Baja
REV-0076,Audi A4 2024,Deportivo,3.53,Alta
REV-0077,Mercedes C300 2023,Compacto,2.94,Alta
REV-0078,Chevrolet Aveo 2022,Minivan,3.40,Alta
REV-0079,KIA Sportage 2023,Pickup,3.71,Peligrosa
REV-0080,RAM 1500 2023,Pickup,1.69,Baja
